8	3	3.0	89809	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	0	0	3600.0	47	147	0.02040816326530612	21	0.6375372328447612	2026-04-16 20:53:36.650158
4	3	3.0	48951	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	0	0	3600.0	20	87	0.0	21	0.4486630706860879	2026-04-16 20:54:25.753176
20	3	3.0	49921	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	1	0	3600.0	136	268	0.02040816326530612	20	0.6192835772676448	2026-04-16 21:14:29.661295
20	2	3.0	49921	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	0	0	3600.0	175	186	0.061224489795918366	19	0.6001570923086847	2026-04-16 21:53:20.711479
20	4	3.0	49921	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	2	0	3600.0	108	326	0.0	20	0.7755628075843504	2026-04-16 21:59:28.774718
20	5	3.0	49921	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	3	0	3600.0	101	342	0.04081632653061224	19	0.6726636427024542	2026-04-17 00:41:28.573823
30	2	3.0	49921	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	4	0	3600.0	256	299	0.12244897959183673	19	0.7562978587739873	2026-04-17 08:14:22.738525
30	3	3.0	49921	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	5	0	3600.0	217	350	0.04081632653061224	19	0.6714727340969272	2026-04-17 08:31:17.428592
20	2	3.0	76219	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	0	0	3600.0	166	190	0.0	19	0.6047232268161113	2026-04-17 14:33:31.070927
20	3	3.0	76219	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	1	0	3600.0	137	274	0.04081632653061224	20	0.6376730504549929	2026-04-17 14:33:31.080629
20	4	3.0	76219	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	2	0	3600.0	131	308	0.02040816326530612	20	0.7774699123940081	2026-04-17 14:33:31.087373
20	5	3.0	76219	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	3	0	3600.0	90	426	0.10204081632653061	19	0.6756971968758869	2026-04-17 14:33:31.093860
30	2	3.0	76219	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	4	0	3600.0	247	302	0.04081632653061224	19	0.7737808518201553	2026-04-17 14:33:31.100069
30	3	3.0	76219	600.0	200.0	25.0	50	None	None	True	0.1	5	8	30	(0.0, 10.0)	3	1	1	5	0	3600.0	199	423	0.04081632653061224	19	0.6734496878552424	2026-04-17 14:33:31.106203
